Driver,DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,GP,LapTimeSeconds
1,14,2.0,1.0,284.0,295.0,282.0,317.0,1,3,2.0,1,1,0,9.52425215480818,34.7,20.0,1003.5,0,47.3,161,3.2,2022,8,81.043
0,23,3.0,1.0,234.0,230.0,273.5594525235244,302.0,0,3,3.0,1,11,0,9.52425215480818,34.8,20.0,1003.5,0,47.3,119,1.8,2022,8,124.567
14,31,3.0,1.0,217.0,202.0,273.5594525235244,295.0,0,3,3.0,1,1,0,9.52425215480818,34.8,20.0,1003.5,0,47.3,119,1.8,2022,8,101.13
7,10,6.0,2.0,226.0,238.0,273.5594525235244,300.0,0,3,3.0,1,0,0,9.52425215480818,34.9,20.0,1003.5,0,47.3,197,2.2,2022,8,99.697
19,22,6.0,2.0,208.0,233.0,273.5594525235244,298.0,0,3,3.0,1,0,0,9.52425215480818,34.9,20.0,1003.5,0,47.3,197,2.2,2022,8,98.875
1,14,3.0,1.0,196.0,188.0,273.5594525235244,239.0,0,3,3.0,1,1,0,9.52425215480818,34.9,20.0,1003.5,0,47.3,197,2.2,2022,8,108.483
18,18,5.0,2.0,287.0,298.0,277.0,318.0,1,3,2.0,1,2,0,9.52425215480818,35.0,18.0,1003.4,0,47.5,170,3.7,2022,8,81.418
7,10,8.0,3.0,285.0,303.0,283.0,322.0,1,3,2.0,1,0,0,9.52425215480818,35.0,18.0,1003.4,0,47.5,116,2.5,2022,8,80.719
19,22,8.0,3.0,289.0,305.0,285.0,322.0,1,3,2.0,1,0,0,9.52425215480818,35.0,18.0,1003.4,0,47.5,116,2.5,2022,8,80.707
13,4,5.0,2.0,284.0,293.0,240.0,318.0,0,3,2.0,1,6,0,9.52425215480818,35.0,18.0,1003.4,0,47.5,116,2.5,2022,8,82.886
9,44,5.0,2.0,287.0,310.0,270.0,337.0,0,3,5.0,0,7,0,9.52425215480818,35.0,18.0,1003.4,0,47.5,116,2.5,2022,8,82.639
0,23,5.0,2.0,278.0,288.0,289.0,333.0,0,3,2.0,1,11,0,9.52425215480818,35.0,18.0,1003.4,0,47.5,116,2.5,2022,8,82.429
1,14,5.0,2.0,172.0,226.0,273.5594525235244,327.0,0,3,2.0,1,1,0,9.52425215480818,35.0,18.0,1003.4,0,47.5,116,2.5,2022,8,109.296
16,63,5.0,2.0,281.0,187.0,273.5594525235244,324.0,0,3,5.0,0,7,0,9.52425215480818,34.8,18.0,1003.5,0,47.4,177,1.0,2022,8,103.927
7,10,9.0,3.0,237.0,224.0,273.5594525235244,298.0,0,3,3.0,1,0,0,9.52425215480818,34.8,18.0,1003.5,0,47.4,177,1.0,2022,8,106.316
